0.0;10.4;30.0;
3.1;8.3;25.5;
4.0;0.0;28.7;
6.2;11.7;35.1;
0.0;7.0;22.4;
1.8;6.5;20.1;
7.5;13.2;40.3;
3.3;9.1;27.0;
4.6;10.8;31.6;
5.9;0.0;33.2;
2.5;7.8;24.9;
0.0;11.5;34.7;
3.7;9.0;26.3;
4.4;10.1;29.4;
5.1;11.0;32.5;
2.2;6.9;21.8;
7.0;12.6;38.6;
3.6;8.8;25.9;
1.5;0.0;18.2;
6.8;12.2;37.5;
2.9;7.3;23.6;
0.0;9.9;28.2;
5.4;10.9;30.7;
3.2;8.6;26.0;
6.3;12.1;36.8;
1.9;6.1;19.4;
0.0;13.5;42.1;
2.4;6.7;22.0;
4.1;9.4;27.5;
5.7;11.3;33.9;
3.9;9.2;26.7;
0.0;11.9;35.3;
2.6;7.6;23.9;
4.5;10.0;29.9;
1.7;5.8;18.8;
6.5;12.4;37.0;
3.0;8.2;24.5;
0.0;10.7;31.2;
4.7;0.0;30.4;
2.8;7.1;23.1;
6.6;12.3;36.2;
0.0;8.9;25.7;
1.6;5.5;17.9;
5.6;11.2;33.0;
4.2;9.7;28.0;
2.0;6.3;20.3;
7.2;0.0;39.8;
3.4;8.5;25.1;
6.9;12.5;38.0;
2.1;6.6;21.0;
4.8;10.3;30.1;
5.8;0.0;34.0;
0.0;9.3;27.1;
6.7;12.7;38.9;
1.4;5.3;17.5;
2.7;7.4;22.6;
4.9;10.2;30.6;
0.0;11.1;32.1;
3.1;8.1;24.2;
7.3;13.1;40.0;
0.0;6.8;21.5;
4.0;9.6;28.9;
5.2;10.6;31.4;
3.3;8.7;25.3;
6.0;0.0;34.4;
0.0;7.7;24.1;
1.8;6.0;19.7;
7.6;13.3;41.0;
3.6;9.0;26.5;
4.6;10.9;31.9;
5.9;12.1;35.6;
2.2;6.4;20.7;
6.2;12.0;36.0;
3.7;9.1;26.8;
0.0;10.6;30.2;
1.9;5.7;18.5;
6.4;12.2;36.5;
3.2;8.4;24.7;
5.5;0.0;32.8;
4.1;9.8;29.0;
0.0;7.5;23.4;
7.1;12.8;39.2;
3.0;8.0;23.9;
5.6;11.3;33.4;
4.3;9.5;28.6;
2.0;0.0;20.0;
6.3;11.8;35.0;
3.9;9.2;27.3;
1.5;5.2;17.2;
0.0;13.4;41.5;
2.8;7.2;23.3;
4.2;9.9;28.5;
5.1;10.8;31.8;
0.0;8.3;25.0;
6.1;11.6;34.6;
3.7;9.1;26.8;
0.0;10.6;30.2;
1.9;5.7;18.5;
6.4;12.2;36.5;
2.8;7.2;23.3;
